Value Set Name,Code System,Logical Definition,Code,Code Description
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D42.0,Neoplasm of uncertain behavior of cerebral meninges
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D42.1,Neoplasm of uncertain behavior of spinal meninges
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D42.9,"Neoplasm of uncertain behavior of meninges, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.0,"Neoplasm of uncertain behavior of brain, supratentorial"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.1,"Neoplasm of uncertain behavior of brain, infratentorial"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.2,"Neoplasm of uncertain behavior of brain, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.3,Neoplasm of uncertain behavior of cranial nerves
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.4,Neoplasm of uncertain behavior of spinal cord
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.8,Neoplasm of uncertain behavior of other specified parts of central nervous system
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D43.9,"Neoplasm of uncertain behavior of central nervous system, unspecified"
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D44.3,Neoplasm of uncertain behavior of pituitary gland
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D44.4,Neoplasm of uncertain behavior of craniopharyngeal duct
Benign Neoplasm of Brain and CNS Disorder Value Set,ICD-10 CM,,D44.5,Neoplasm of uncertain behavior of pineal gland
Benign Neoplasm of Brain and CNS Disorder Value Set,SNOMED CT,concept is 93468003 OR concept is 109913001 OR concept is 92030004 OR concept is 92048008 OR concept is 92296004 OR concept is 92294001 OR concept is 94963005 OR concept is 94767002 OR concept is 95002008 OR concept is 95004009,,
Binet Stage Value Set,,,,
Binet Stage Value Set,NCIT,,C80134,Binet Stage A
Binet Stage Value Set,NCIT,,C80135,Binet Stage B
Binet Stage Value Set,NCIT,,C80136,Binet Stage C
Body Location and Laterality Qualifier Value Set,,,,
Body Location and Laterality Qualifier Value Set,SNOMED CT,,255503000,Entire (qualifier value)
Body Location and Laterality Qualifier Value Set,SNOMED CT,concept is a descendent of 106233006 OR concept is a descendent of 272424004,,
Body Location Qualifier Value Set,,,,
Body Location Qualifier Value Set,n/a,Include codes from Body Location and Laterality Qualifier Value Set,,
Brachytherapy High Dose Rate Electronic Technique Value Set,,,,
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,1156382005,Intensity modulated intracavitary brachytherapy (procedure)
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,14473006,Surface brachytherapy (procedure)
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,168524008,Radiotherapy - intraoperative control (procedure)
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,384691004,Intraluminal brachytherapy (procedure)
Brachytherapy High Dose Rate Electronic Technique Value Set,SNOMED CT,,384692006,Intracavitary brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,,,,
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,1156382005,Intensity modulated intracavitary brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,1156383000,Intravascular brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,14473006,Surface brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,168524008,Radiotherapy - intraoperative control (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,384691004,Intraluminal brachytherapy (procedure)
Brachytherapy High Dose Rate Technique Value Set,SNOMED CT,,384692006,Intracavitary brachytherapy (procedure)
Brachytherapy Low Dose Rate Temporary Radiation Technique Value Set,,,,
Brachytherapy Low Dose Rate Temporary Radiation Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy Low Dose Rate Temporary Radiation Technique Value Set,SNOMED CT,,14473006,Surface brachytherapy (procedure)
Brachytherapy Low Dose Rate Temporary Radiation Technique Value Set,SNOMED CT,,384692006,Intracavitary brachytherapy (procedure)
Brachytherapy Modality Value Set,,,,
Brachytherapy Modality Value Set,SNOMED CT,,1156384006,Pulsed dose rate brachytherapy (procedure)
Brachytherapy Modality Value Set,SNOMED CT,,1156708005,Low dose rate brachytherapy using temporary radioactive source (procedure)
Brachytherapy Modality Value Set,SNOMED CT,,169359004,Internal radiotherapy - permanent seeds (procedure)
Brachytherapy Modality Value Set,SNOMED CT,,394902000,High dose brachytherapy (procedure)
Brachytherapy Modality Value Set,SNOMED CT,,438629002,High dose rate electronic brachytherapy (procedure)
Brachytherapy Modality Value Set,SNOMED CT,,440252007,Administration of radiopharmaceutical (procedure)
Brachytherapy Permanent Seeds Technique Value Set,,,,
Brachytherapy Permanent Seeds Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy Pulsed Dose Rate Technique Value Set,,,,
Brachytherapy Pulsed Dose Rate Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy Pulsed Dose Rate Technique Value Set,SNOMED CT,,384692006,Intracavitary brachytherapy (procedure)
Brachytherapy Radiopharmaceutical Technique Value Set,,,,
Brachytherapy Radiopharmaceutical Technique Value Set,SNOMED CT,,113120007,Interstitial brachytherapy (procedure)
Brachytherapy Radiopharmaceutical Technique Value Set,SNOMED CT,,1156383000,Intravascular brachytherapy (procedure)
Brachytherapy Radiopharmaceutical Technique Value Set,SNOMED CT,,16560241000119104,Oral radionuclide therapy (procedure)
Brachytherapy Radiopharmaceutical Technique Value Set,SNOMED CT,,384692006,Intracavitary brachytherapy (procedure)
Brachytherapy Technique Value Set,,,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy Permanent Seeds Technique Value Set,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy Low Dose Rate Temporary Radiation Technique Value Set,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy Pulsed Dose Rate Technique Value Set,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy High Dose Rate Technique Value Set,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy High Dose Rate Electronic Technique Value Set,,
Brachytherapy Technique Value Set,n/a,Include codes from Brachytherapy Radiopharmaceutical Technique Value Set,,
Breslow Depth Stage Value Set,,,,
Breslow Depth Stage Value Set,SNOMED CT,concept is a descendent of 385348009,,
Cancer Body Location Value Set,,,,
Cancer Body Location Value Set,SNOMED CT,concept is 123037004,,
Cancer Disease Status Evidence Type Value Set,,,,
Cancer Disease Status Evidence Type Value Set,SNOMED CT,concept is 714797009 OR concept is 116147009 OR concept is 108257001 OR concept is 386344002 OR concept is 5880005 OR concept is 363679005 OR concept is 250724005,,
Cancer Disorder Value Set,,,,
Cancer Disorder Value Set,n/a,Include codes from Primary Cancer Disorder Value Set,,
Cancer Disorder Value Set,n/a,Include codes from Secondary Cancer Disorder Value Set,,
Cancer Disorder Value Set,n/a,Include codes from Histology Morphology Behavior Value Set,,
Cancer-Related Surgical Procedure Value Set,,,,
Cancer-Related Surgical Procedure Value Set,SNOMED CT,concept is a descendent of 387713003,,
Cancer Stage Type Value Set,,,,
Cancer Stage Type Value Set,NCIT,,C115134,BCLC Stage
Cancer Stage Type Value Set,NCIT,,C132248,AJCC v8 Stage
Cancer Stage Type Value Set,NCIT,,C133427,International Neuroblastoma Risk Group Staging System
Cancer Stage Type Value Set,NCIT,,C134969,AIDS-Related Kaposi Sarcoma Stage
Cancer Stage Type Value Set,NCIT,,C139006,Durie/Salmon Stage
Cancer Stage Type Value Set,NCIT,,C139007,International Staging System Stage
Cancer Stage Type Value Set,NCIT,,C139445,Breast Cancer Anatomic Stage
Cancer Stage Type Value Set,NCIT,,C139446,Breast Cancer Prognostic Stage
Cancer Stage Type Value Set,NCIT,,C141099,ENSAT Stage
Cancer Stage Type Value Set,NCIT,,C141138,Ann Arbor Stage
Cancer Stage Type Value Set,NCIT,,C141147,Lugano Stage
Cancer Stage Type Value Set,NCIT,,C141212,Binet Stage
Cancer Stage Type Value Set,NCIT,,C141461,Occult Stage
Cancer Stage Type Value Set,NCIT,,C143151,Masaoka-Koga Stage
Cancer Stage Type Value Set,NCIT,,C146847,Mediastinal Malignant Germ Cell Tumor Stage
Cancer Stage Type Value Set,NCIT,,C157232,FIGO/TNM Stage
Cancer Stage Type Value Set,NCIT,,C16899,Neoplasm Stage
Cancer Stage Type Value Set,NCIT,,C174125,Neoplastic Disease Extent Indicator
Cancer Stage Type Value Set,NCIT,,C177555,AJCC v8 Clinical Stage
Cancer Stage Type Value Set,NCIT,,C177556,AJCC v8 Pathologic Stage
Cancer Stage Type Value Set,NCIT,,C177558,Ann Arbor Clinical Stage
Cancer Stage Type Value Set,NCIT,,C177559,Ann Arbor Pathologic Stage
Cancer Stage Type Value Set,NCIT,,C180901,AJCC v9 Stage
Cancer Stage Type Value Set,NCIT,,C186617,FIGO 2018 Stage
Cancer Stage Type Value Set,NCIT,,C186618,FIGO 2009 Stage
Cancer Stage Type Value Set,NCIT,,C198190,"Childhood Hepatoblastoma by Toronto Guidelines v2 Stage, Tier 2"
Cancer Stage Type Value Set,NCIT,,C28067,Hepatoblastoma Stage
Cancer Stage Type Value Set,NCIT,,C90529,AJCC v6 Stage
Cancer Stage Type Value Set,NCIT,,C90530,AJCC v7 Stage
Cancer Stage Type Value Set,SNOMED CT,,103420007,Modified Dukes stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,106248000,TNM classification of malignant tumor before any treatment (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,106249008,TNM classification of malignant tumor after operation (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,1342413004,International Intraocular Retinoblastoma Classification (tumor staging)
Cancer Stage Type Value Set,SNOMED CT,,17964000,Residual tumor stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,277206009,N category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,277208005,M category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,371494008,pN category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,371495009,Stage of tumor involvement of non-regional lymph nodes (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,371497001,pM category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,384625004,pT category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385349001,Clinical stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385357003,Dukes stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385361009,International Federation of Gynecology and Obstetrics stage for gynecological malignancy (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385363007,International Federation of Gynecology and Obstetrics ovarian tumor stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385365000,International Federation of Gynecology and Obstetrics stage for epithelial tumor of ovary (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385367008,International Federation of Gynecology and Obstetrics stage for cervical carcinoma (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385369006,International Federation of Gynecology and Obstetrics stage for vulvar melanoma (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385373009,International Federation of Gynecology and Obstetrics uterine tumor stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385375002,International Federation of Gynecology and Obstetrics stage for endometrial carcinoma (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,385377005,Gleason grade finding for prostatic cancer (finding)
Cancer Stage Type Value Set,SNOMED CT,,385388004,Lymphoma stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399387003,cM category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399390009,Tumor-node-metastasis (TNM) stage grouping (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399437009,Integrated M category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399458003,Integrated N category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399504009,cT category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399534004,cN category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399537006,Clinical TNM stage grouping (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399556001,Integrated T category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399566009,Tumor-node-metastasis (TNM) category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399588009,Pathologic TNM stage grouping (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,399703000,Integrated TNM category (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,405916000,Intergroup rhabdomyosarcoma study post-surgical clinical group (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,405931009,National Wilms Tumor Study Group Stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,409720004,International neuroblastoma staging system stage (observable entity)
Cancer Stage Type Value Set,SNOMED CT,,78873005,T category (observable entity)
Cancer Stage Value Set,,,,
Cancer Stage Value Set,NCIT,,C133428,INRG Stage L1
Cancer Stage Value Set,NCIT,,C133429,INRG Stage L2
Cancer Stage Value Set,NCIT,,C133430,INRG Stage M
Cancer Stage Value Set,NCIT,,C133431,INRG Stage MS
Cancer Stage Value Set,NCIT,,C148012,Intergroup Rhabdomyosarcoma Group I
Cancer Stage Value Set,NCIT,,C148015,Intergroup Rhabdomyosarcoma Group II
Cancer Stage Value Set,NCIT,,C148019,Intergroup Rhabdomyosarcoma Group III
Cancer Stage Value Set,NCIT,,C198011,Localized PRETEX I Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198012,Localized PRETEX II Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198013,Localized PRETEX III Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198014,Localized PRETEX IV Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198015,Metastatic PRETEX I Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198016,Metastatic PRETEX II Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198017,Metastatic PRETEX III Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198018,Metastatic PRETEX IV Hepatoblastoma
Cancer Stage Value Set,NCIT,,C198180,Stage 0 Childhood Retinoblastoma by Toronto Guidelines v2
Cancer Stage Value Set,NCIT,,C198181,Stage I Childhood Retinoblastoma by Toronto Guidelines v2
Cancer Stage Value Set,NCIT,,C198182,Stage II Childhood Retinoblastoma by Toronto Guidelines v2
Cancer Stage Value Set,NCIT,,C198183,Stage III Childhood Retinoblastoma by Toronto Guidelines v2
Cancer Stage Value Set,NCIT,,C7139,PRETEXT I Hepatoblastoma
Cancer Stage Value Set,NCIT,,C7140,PRETEXT II Hepatoblastoma
Cancer Stage Value Set,NCIT,,C7141,PRETEXT III Hepatoblastoma
Cancer Stage Value Set,NCIT,,C7142,PRETEXT IV Hepatoblastoma
Cancer Stage Value Set,NCIT,,CL1914012,Stage IV Childhood Retinoblastoma by Toronto Guidelines v2
Cancer Stage Value Set,SNOMED CT,concept is a descendent of 1222585009 OR concept is a descendent of 1222587001 OR concept is a descendent of 1222588006 OR concept is a descendent of 1222589003 OR concept is a descendent of 1222590007 OR concept is a descendent of 1222591006 OR concept is a descendent of 1222592004 OR concept is a descendent of 1222593009 OR concept is a descendent of 1222594003 OR concept is a descendent of 1222595002 OR concept is a descendent of 1222596001 OR concept is a descendent of 1222598000 OR concept is a descendent of 1222599008 OR concept is a descendent of 1222600006 OR concept is a descendent of 1222601005 OR concept is a descendent of 258318002 OR concept is a descendent of 258309004 OR concept is a descendent of 258233007 OR concept is a descendent of 258271004 OR concept is a descendent of 106242004 OR concept is a descendent of 409721000 OR concept is a descendent of 405971004,,
Cancer Staging Method Value Set,,,,
Cancer Staging Method Value Set,NCIT,,C111073,International Germ Cell Consensus Risk Classification
Cancer Staging Method Value Set,NCIT,,C112006,Thymoma by Masaoka-Koga Stage
Cancer Staging Method Value Set,NCIT,,C115132,Hepatocellular Carcinoma by BCLC Stage
Cancer Staging Method Value Set,NCIT,,C123333,Reese-Ellsworth Staging System
Cancer Staging Method Value Set,NCIT,,C128932,Derkay Staging System
Cancer Staging Method Value Set,NCIT,,C140258,Enneking Staging System
Cancer Staging Method Value Set,NCIT,,C141168,Lugano Classification Hodgkin Lymphoma by AJCC v8 Stage
Cancer Staging Method Value Set,NCIT,,C141206,Chronic Lymphocytic Leukemia- Modified Rai Staging System
Cancer Staging Method Value Set,NCIT,,C141685,Veterans Administration Lung Study Group Clinical Classification
Cancer Staging Method Value Set,NCIT,,C15432,"Surveillance, Epidemiology, and End Results Program"
Cancer Staging Method Value Set,NCIT,,C177308,Non-Seminomatous Germ Cell Tumor International Germ Cell Consensus Risk Classification
Cancer Staging Method Value Set,NCIT,,C177309,Seminoma International Germ Cell Tumor Consensus Risk Classification
Cancer Staging Method Value Set,NCIT,,C18008,TNM Ovary Neoplasm Staging
Cancer Staging Method Value Set,NCIT,,C18214,Whitmore-Jewett Staging System
Cancer Staging Method Value Set,NCIT,,C186520,Medulloblastoma Staging System
Cancer Staging Method Value Set,NCIT,,C186527,Atypical Teratoid/Rhabdoid Tumor Staging System
Cancer Staging Method Value Set,NCIT,,C186536,Embryonal Tumor with Multilayered Rosettes Staging System
Cancer Staging Method Value Set,NCIT,,C186567,Pineoblastoma Staging System
Cancer Staging Method Value Set,NCIT,,C188404,Union for International Cancer Control Stage
Cancer Staging Method Value Set,NCIT,,C198826,Modified Chang Staging System for Medulloblastoma
Cancer Staging Method Value Set,NCIT,,C62575,Collaborative Staging
Cancer Staging Method Value Set,NCIT,,C85407,Evans Staging System
Cancer Staging Method Value Set,NCIT,,C99408,FIGO Staging System and Modified World Health Organization [WHO] Prognostic Scoring System for Gestational Trophoblastic Neoplasms
Cancer Staging Method Value Set,SNOMED CT,,106244003,International Federation of Gynecology and Obstetrics staging system for endometrial carcinoma (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,106245002,International Federation of Gynecology and Obstetrics staging system for vulvar carcinoma (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,106246001,International Federation of Gynecology and Obstetrics staging system for vulvar melanoma (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,106247005,International Federation of Gynecology and Obstetrics staging system for epithelial tumor of ovary (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,106250008,International Federation of Gynecology and Obstetrics staging system for cervical carcinoma (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1149099005,Binet staging classification for chronic lymphocytic leukemia (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1149131009,Rai staging system for chronic lymphocytic leukemia (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1149162008,International Staging System for multiple myeloma (staging scale)
Cancer Staging Method Value Set,SNOMED CT,,1149163003,Revised International Staging System for multiple myeloma (staging scale)
Cancer Staging Method Value Set,SNOMED CT,,1149164009,Australian Clinicopathological Staging System for colorectal cancer (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1287643004,International Neuroblastoma Risk Group staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1287646007,International Germ Cell Consensus Classification (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,1287648008,Masaoka-Koga stage classification for thymic malignancies (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254360008,Dukes staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254361007,Astler-Coller staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254362000,Modified Astler-Coller staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254366002,Stannard staging system for retinoblastoma (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254372002,Ann Arbor lymphoma staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254373007,Ann Arbor Hodgkin's disease tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254374001,Ann Arbor non-Hodgkin's lymphoma tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254375000,Cotswolds Hodgkin's disease tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254378003,Walter Reed testicular tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254379006,Indiana University testicular tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254380009,Marshall Modification of Jewett-Strong staging system for urinary bladder tumor (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254381008,American Urological Association staging system for prostate cancer (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254382001,Trophoblastic malignancy staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254383006,International Federation of Gynecology and Obstetrics staging system of gynecological malignancy (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254384000,International Federation of Gynecology and Obstetrics vaginal tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254385004,International Federation of Gynecology and Obstetrics uterine tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,254386003,International Federation of Gynecology and Obstetrics ovarian tumor staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,385345007,Clark system for melanoma staging (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,385346008,Breslow system for melanoma staging (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,385359000,Modified Dukes staging system (tumor staging)
Cancer Staging Method Value Set,SNOMED CT,,443830009,"American Joint Commission on Cancer, Cancer Staging Manual, 7th edition neoplasm staging system (tumor staging)"
Cancer Staging Method Value Set,SNOMED CT,,444256004,"American Joint Commission on Cancer, Cancer Staging Manual, 6th edition neoplasm staging system (tumor staging)"
Cancer Staging Method Value Set,SNOMED CT,,897275008,"American Joint Commission on Cancer, Cancer Staging Manual, 8th edition neoplasm staging system (tumor staging)"
Cancer Staging Prognostic Factors Types,,,,
Cancer Staging Prognostic Factors Types,SNOMED CT,,106252000,Staging classification for lymphoma (tumor staging)
Cancer Staging Prognostic Factors Types,SNOMED CT,,260873006,Bulky disease status (attribute)
Cancer Staging Prognostic Factors Types,SNOMED CT,,277366005,Nature of staging values (qualifier value)
Cancer Staging Prognostic Factors Value,,,,
Cancer Staging Prognostic Factors Value,SNOMED CT,,260998006,Clinical staging (qualifier value)
Cancer Staging Prognostic Factors Value,SNOMED CT,,261023001,Pathological staging (qualifier value)
Cancer Staging Prognostic Factors Value,SNOMED CT,,2667000,Absent (qualifier value)
Cancer Staging Prognostic Factors Value,SNOMED CT,,52101004,Present (qualifier value)
Cancer Staging Prognostic Factors Value,SNOMED CT,concept is a descendent of 106252000,,
Carcinoma In-Situ Disorder Value Set,,,,
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00,"CARCINOMA IN SITU OF ORAL CAVITY, ESOPHAGUS AND STOMACH"
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.0,"Carcinoma in situ of lip, oral cavity and pharynx"
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.00,"Carcinoma in situ of oral cavity, unspecified site"
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.01,Carcinoma in situ of labial mucosa and vermilion border
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.02,Carcinoma in situ of buccal mucosa
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.03,Carcinoma in situ of gingiva and edentulous alveolar ridge
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.04,Carcinoma in situ of soft palate
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.05,Carcinoma in situ of hard palate
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.06,Carcinoma in situ of floor of mouth
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.07,Carcinoma in situ of tongue
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.08,Carcinoma in situ of pharynx
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.1,Carcinoma in situ of esophagus
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D00.2,Carcinoma in situ of stomach
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01,CARCINOMA IN SITU OF OTHER AND UNSPECIFIED DIGESTIVE ORGANS
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.0,Carcinoma in situ of colon
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.1,Carcinoma in situ of rectosigmoid junction
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.2,Carcinoma in situ of rectum
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.3,Carcinoma in situ of anus and anal canal
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.4,Carcinoma in situ of other and unspecified parts of intestine
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.40,Carcinoma in situ of unspecified part of intestine
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.49,Carcinoma in situ of other parts of intestine
Carcinoma In-Situ Disorder Value Set,ICD-10 CM,,D01.5,"Carcinoma in situ of liver, gallbladder and bile ducts"
