ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C04,Malignant neoplasm of floor of mouth,Malignant neoplasm ,Category Code,Category Code (Core), ,,,
C04.0,Malignant neoplasm of anterior floor of mouth,Malignant neoplasm,Reportable,Core,,,,
C04.1,Malignant neoplasm of lateral floor of mouth,Malignant neoplasm,Reportable,Core,,,,
C04.8,Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm,Reportable,Core,,,,
C04.9,"Malignant neoplasm of floor of mouth, unspecified",Malignant neoplasm,Reportable,Core,,,,
C05,Malignant neoplasm of palate,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C05.0,Malignant neoplasm of hard palate,Malignant neoplasm,Reportable,Core,,,,
C05.1,Malignant neoplasm of soft palate,Malignant neoplasm,Reportable,Core,,,,
C05.2,Malignant neoplasm of uvula,Malignant neoplasm,Reportable,Core,,,,
C05.8,Malignant neoplasm of overlapping sites of palate,Malignant neoplasm,Reportable,Core,,,,
C05.9,"Malignant neoplasm of palate, unspecified",Malignant neoplasm,Reportable,Core,,,,
C06,Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C06.0,Malignant neoplasm of cheek mucosa,Malignant neoplasm,Reportable,Core,,,,
C06.1,Malignant neoplasm of vestibule of mouth,Malignant neoplasm,Reportable,Core,,,,
C06.2,Malignant neoplasm of retromolar area,Malignant neoplasm,Reportable,Core,,,,
C06.8,Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,Malignant neoplasm,Reportable,Core,,,,
C06.80,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Malignant neoplasm,Reportable,Core,,,,
C06.89,Malignant neoplasm of overlapping sites of other parts of mouth,Malignant neoplasm,Reportable,Core,,,,
C06.9,"Malignant neoplasm of mouth, unspecified",Malignant neoplasm,Reportable,Core,,,,
C07,Malignant neoplasm of parotid gland,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C08,Malignant neoplasm of other and unspecified major salivary glands,Malignant neoplasm,Reportable,Core,,,,
C08.0,Malignant neoplasm of submandibular gland,Malignant neoplasm,Reportable,Core,,,,
C08.1,Malignant neoplasm of sublingual gland,Malignant neoplasm,Reportable,Core,,,,
C08.9,"Malignant neoplasm of major salivary gland, unspecified",Malignant neoplasm,Reportable,Core,,,,
C09,Malignant neoplasm of tonsil,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C09.0,Malignant neoplasm of tonsillar fossa,Malignant neoplasm,Reportable,Core,,,,
C09.1,Malignant neoplasm of tonsillar pillar (anterior) (posterior),Malignant neoplasm,Reportable,Core,,,,
C09.8,Malignant neoplasm of overlapping sites of tonsil,Malignant neoplasm,Reportable,Core,,,,
C09.9,"Malignant neoplasm of tonsil, unspecified",Malignant neoplasm,Reportable,Core,,,,
C10,Malignant neoplasm of oropharynx,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C10.0,Malignant neoplasm of vallecula,Malignant neoplasm,Reportable,Core,,,,
C10.1,Malignant neoplasm of anterior surface of epiglottis,Malignant neoplasm,Reportable,Core,,,,
C10.2,Malignant neoplasm of lateral wall of oropharynx,Malignant neoplasm,Reportable,Core,,,,
C10.3,Malignant neoplasm of posterior wall of oropharynx,Malignant neoplasm,Reportable,Core,,,,
C10.4,Malignant neoplasm of branchial cleft,Malignant neoplasm,Reportable,Core,,,,
C10.8,Malignant neoplasm of overlapping sites of oropharynx,Malignant neoplasm,Reportable,Core,,,,
C10.9,"Malignant neoplasm of oropharynx, unspecified",Malignant neoplasm,Reportable,Core,,,,
C11,Malignant neoplasm of nasopharynx,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C11.0,Malignant neoplasm of superior wall of nasopharynx,Malignant neoplasm,Reportable,Core,,,,
C11.1,Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm,Reportable,Core,,,,
C11.2,Malignant neoplasm of lateral wall of nasopharynx,Malignant neoplasm,Reportable,Core,,,,
C11.3,Malignant neoplasm of anterior wall of nasopharynx,Malignant neoplasm,Reportable,Core,,,,
C11.8,Malignant neoplasm of overlapping sites of nasopharynx,Malignant neoplasm,Reportable,Core,,,,
C11.9,"Malignant neoplasm of nasopharynx, unspecified",Malignant neoplasm,Reportable,Core,,,,
C12,Malignant neoplasm of pyriform sinus,Malignant neoplasm,Reportable,Core,,,,
C13,Malignant neoplasm of hypopharynx,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C13.0,Malignant neoplasm of postcricoid region,Malignant neoplasm,Reportable,Core,,,,
C13.1,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",Malignant neoplasm,Reportable,Core,,,,
C13.2,Malignant neoplasm of posterior wall of hypopharynx,Malignant neoplasm,Reportable,Core,,,,
C13.8,Malignant neoplasm of overlapping sites of hypopharynx,Malignant neoplasm,Reportable,Core,,,,
C13.9,"Malignant neoplasm of hypopharynx, unspecified",Malignant neoplasm,Reportable,Core,,,,
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Malignant neoplasm ,Category Code,Category Code (Core),,,,
C14.0,"Malignant neoplasm of pharynx, unspecified",Malignant neoplasm,Reportable,Core,,,,
C14.2,Malignant neoplasm of Waldeyer' s ring,Malignant neoplasm,Reportable,Core,,,,
C14.8,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Malignant neoplasm,Reportable,Core,,,,
C15,Malignant neoplasm of esophagus,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C15.3,Malignant neoplasm of upper third of esophagus,Malignant neoplasm,Reportable,Core,,,,
C15.4,Malignant neoplasm of middle third of esophagus,Malignant neoplasm,Reportable,Core,,,,
C15.5,Malignant neoplasm of lower third of esophagus,Malignant neoplasm,Reportable,Core,,,,
C15.8,Malignant neoplasm of overlapping sites of esophagus,Malignant neoplasm,Reportable,Core,,,,
C15.9,"Malignant neoplasm of esophagus, unspecified",Malignant neoplasm,Reportable,Core,,,,
C16,Malignant neoplasm of stomach,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C16.0,Malignant neoplasm of cardia,Malignant neoplasm,Reportable,Core,,,,
C16.1,Malignant neoplasm of fundus of stomach,Malignant neoplasm,Reportable,Core,,,,
C16.2,Malignant neoplasm of body of stomach,Malignant neoplasm,Reportable,Core,,,,
C16.3,Malignant neoplasm of pyloric antrum,Malignant neoplasm,Reportable,Core,,,,
C16.4,Malignant neoplasm of pylorus,Malignant neoplasm,Reportable,Core,,,,
C16.5,"Malignant neoplasm of lesser curvature of stomach, unspecified",Malignant neoplasm,Reportable,Core,,,,
C16.6,"Malignant neoplasm of greater curvature of stomach, unspecified",Malignant neoplasm,Reportable,Core,,,,
C16.8,Malignant neoplasm of overlapping sites of stomach,Malignant neoplasm,Reportable,Core,,,,
C16.9,"Malignant neoplasm of stomach, unspecified",Malignant neoplasm,Reportable,Core,,,,
C17,Malignant neoplasm of small intestine,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C17.0,Malignant neoplasm of duodenum,Malignant neoplasm,Reportable,Core,,,,
C17.1,Malignant neoplasm of jejunum,Malignant neoplasm,Reportable,Core,,,,
C17.2,Malignant neoplasm of ileum,Malignant neoplasm,Reportable,Core,,,,
C17.3,"Meckel's diverticulum, malignant",Malignant neoplasm,Reportable,Core,,,,
C17.8,Malignant neoplasm of overlapping sites of small intestine,Malignant neoplasm,Reportable,Core,,,,
C17.9,"Malignant neoplasm of small intestine, unspecified",Malignant neoplasm,Reportable,Core,,,,
C18,Malignant neoplasm of colon,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C18.0,Malignant neoplasm of cecum,Malignant neoplasm,Reportable,Core,,,,
C18.1,Malignant neoplasm of appendix,Malignant neoplasm,Reportable,Core,,,,
C18.2,Malignant neoplasm of ascending colon,Malignant neoplasm,Reportable,Core,,,,
C18.3,Malignant neoplasm of hepatic flexure,Malignant neoplasm,Reportable,Core,,,,
C18.4,Malignant neoplasm of transverse colon,Malignant neoplasm,Reportable,Core,,,,
C18.5,Malignant neoplasm of splenic flexure,Malignant neoplasm,Reportable,Core,,,,
C18.6,Malignant neoplasm of descending colon,Malignant neoplasm,Reportable,Core,,,,
C18.7,Malignant neoplasm of sigmoid colon,Malignant neoplasm,Reportable,Core,,,,
C18.8,Malignant neoplasm of overlapping sites of colon,Malignant neoplasm,Reportable,Core,,,,
C18.9,"Malignant neoplasm of colon, unspecified",Malignant neoplasm,Reportable,Core,,,,
C19,Malignant neoplasm of rectosigmoid junction,Malignant neoplasm,Reportable,Core,,,,
C20,Malignant neoplasm of rectum,Malignant neoplasm,Reportable,Core,,,,
C21,Malignant neoplasm of anus and anal canal,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C21.0,"Malignant neoplasm of anus, unspecified",Malignant neoplasm,Reportable,Core,,,,
C21.1,Malignant neoplasm of anal canal,Malignant neoplasm,Reportable,Core,,,,
C21.2,Malignant neoplasm of cloacogenic zone,Malignant neoplasm,Reportable,Core,,,,
C21.8,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Malignant neoplasm,Reportable,Core,,,,
C22,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C22.0,Liver cell carcinoma,Malignant neoplasm,Reportable,Core,,,,
C22.1,Intrahepatic bile duct carcinoma,Malignant neoplasm,Reportable,Core,,,,
C22.2,Hepatoblastoma,Malignant neoplasm,Reportable,Core,,,,
C22.3,Angiosarcoma of liver,Malignant neoplasm,Reportable,Core,,,,
C22.4,Other sarcomas of liver,Malignant neoplasm,Reportable,Core,,,,
C22.7,Other specified carcinomas of liver,Malignant neoplasm,Reportable,Core,,,,
C22.8,"Malignant neoplasm of liver, primary, unspecified as to type",Malignant neoplasm,Reportable,Core,,,,
C22.9,"Malignant neoplasm of liver, not specified as primary or secondary",Malignant neoplasm,Reportable,Core,,,,
C23,Malignant neoplasm of gallbladder,Malignant neoplasm,Reportable,Core,,,,
C24,Malignant neoplasm of other and unspecified parts of biliary tract,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C24.0,Malignant neoplasm of extrahepatic bile duct,Malignant neoplasm,Reportable,Core,,,,
C24.1,Malignant neoplasm of ampulla of Vater,Malignant neoplasm,Reportable,Core,,,,
C24.8,Malignant neoplasm of overlapping sites of biliary tract,Malignant neoplasm,Reportable,Core,,,,
C24.9,"Malignant neoplasm of biliary tract, unspecified",Malignant neoplasm,Reportable,Core,,,,
C25,Malignant neoplasm of pancreas,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C25.0,Malignant neoplasm of head of pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.1,Malignant neoplasm of body of pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.2,Malignant neoplasm of tail of pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.3,Malignant neoplasm of pancreatic duct,Malignant neoplasm,Reportable,Core,,,,
C25.4,Malignant neoplasm of endocrine pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.7,Malignant neoplasm of other parts of pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.8,Malignant neoplasm of overlapping sites of pancreas,Malignant neoplasm,Reportable,Core,,,,
C25.9,"Malignant neoplasm of pancreas, unspecified",Malignant neoplasm,Reportable,Core,,,,
C26,Malignant neoplasm of other and ill-defined digestive organs,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C26.0,"Malignant neoplasm of intestinal tract, part unspecified",Malignant neoplasm,Reportable,Core,,,,
C26.1,Malignant neoplasm of spleen,Malignant neoplasm,Reportable,Core,,,,
C26.9,Malignant neoplasm of ill-defined sites within the digestive system,Malignant neoplasm,Reportable,Core,,,,
C30,Malignant neoplasm of nasal cavity and middle ear,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C30.0,Malignant neoplasm of nasal cavity,Malignant neoplasm,Reportable,Core,,,,
C30.1,Malignant neoplasm of middle ear,Malignant neoplasm,Reportable,Core,,,,
C31,Malignant neoplasm of accessory sinuses,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C31.0,Malignant neoplasm of maxillary sinus,Malignant neoplasm,Reportable,Core,,,,
C31.1,Malignant neoplasm of ethmoidal sinus,Malignant neoplasm,Reportable,Core,,,,
C31.2,Malignant neoplasm of frontal sinus,Malignant neoplasm,Reportable,Core,,,,
C31.3,Malignant neoplasm of sphenoid sinus,Malignant neoplasm,Reportable,Core,,,,
C31.8,Malignant neoplasm of overlapping sites of accessory sinuses,Malignant neoplasm,Reportable,Core,,,,
C31.9,"Malignant neoplasm of accessory sinus, unspecified",Malignant neoplasm,Reportable,Core,,,,
C32,Malignant neoplasm of larynx,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C32.0,Malignant neoplasm of glottis,Malignant neoplasm,Reportable,Core,,,,
C32.1,Malignant neoplasm of supraglottis,Malignant neoplasm,Reportable,Core,,,,
C32.2,Malignant neoplasm of subglottis,Malignant neoplasm,Reportable,Core,,,,
C32.3,Malignant neoplasm of laryngeal cartilage,Malignant neoplasm,Reportable,Core,,,,
C32.8,Malignant neoplasm of overlapping sites of larynx,Malignant neoplasm,Reportable,Core, ,,,
C32.9,"Malignant neoplasm of larynx, unspecified",Malignant neoplasm,Reportable,Core,,,,
C33,Malignant neoplasm of trachea,Malignant neoplasm,Reportable,Core,,,,
C34,Malignant neoplasm of bronchus and lung,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C34.0,Malignant neoplasm of main bronchus,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C34.00,Malignant neoplasm of unspecified main bronchus,Malignant neoplasm,Reportable,Core,,,,
C34.01,Malignant neoplasm of right main bronchus,Malignant neoplasm,Reportable,Core,,,,
C34.02,Malignant neoplasm of left main bronchus,Malignant neoplasm,Reportable,Core,,,,
C34.1,"Malignant neoplasm of upper lobe, bronchus or lung",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C34.10,"Malignant neoplasm of upper lobe, unspecified bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.11,"Malignant neoplasm of upper lobe, right bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.12,"Malignant neoplasm of upper lobe, left bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.2,"Malignant neoplasm of middle lobe, bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.3,"Malignant neoplasm of lower lobe, bronchus or lung",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C34.30,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.31,"Malignant neoplasm of lower lobe, right bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.32,"Malignant neoplasm of lower lobe, left bronchus or lung",Malignant neoplasm,Reportable,Core,,,,
C34.8,Malignant neoplasm of overlapping sites of bronchus and lung,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C34.80,Malignant neoplasm of overlapping sites of unspecified bronchus and lung,Malignant neoplasm,Reportable,Core,,,,
C34.81,Malignant neoplasm of overlapping sites of right bronchus and lung,Malignant neoplasm,Reportable,Core,,,,
C34.82,Malignant neoplasm of overlapping sites of left bronchus and lung,Malignant neoplasm,Reportable,Core,,,,
C34.9,Malignant neoplasm of unspecified part of bronchus or lung,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C34.90,Malignant neoplasm of unspecified part of unspecified bronchus or lung,Malignant neoplasm,Reportable,Core,,,,
C34.91,Malignant neoplasm of unspecified part of right bronchus or lung,Malignant neoplasm,Reportable,Core,,,,
C34.92,Malignant neoplasm of unspecified part of left bronchus or lung,Malignant neoplasm,Reportable,Core,,,,
C37,Malignant neoplasm of thymus,Malignant neoplasm,Reportable,Core,,,,
C38,"Malignant neoplasm of heart, mediastinum and pleura",Malignant neoplasm ,Category Code,Category Code (Core),,,,
C38.0,Malignant neoplasm of heart,Malignant neoplasm,Reportable,Core,,,,
C38.1,Malignant neoplasm of anterior mediastinum,Malignant neoplasm,Reportable,Core,,,,
C38.2,Malignant neoplasm of posterior mediastinum,Malignant neoplasm,Reportable,Core,,,,
C38.3,"Malignant neoplasm of mediastinum, part unspecified",Malignant neoplasm,Reportable,Core,,,,
C38.4,Malignant neoplasm of pleura,Malignant neoplasm,Reportable,Core,,,,
C38.8,"Malignant neoplasm of overlapping sites of heart, mediastinum and pleura",Malignant neoplasm,Reportable,Core,,,,
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C39.0,"Malignant neoplasm of upper respiratory tract, part unspecified",Malignant neoplasm,Reportable,Core,,,,
C39.9,"Malignant neoplasm of lower respiratory tract, part unspecified",Malignant neoplasm,Reportable,Core,,,,
C40,Malignant neoplasm of bone and articular cartilage of limbs,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C40.0,Malignant neoplasm of scapula and long bones of upper limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.00,Malignant neoplasm of scapula and long bones of unspecified upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.01,Malignant neoplasm of scapula and long bones of right upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.02,Malignant neoplasm of scapula and long bones of left upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.1,Malignant neoplasm of short bones of upper limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.10,Malignant neoplasm of short bones of unspecified upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.11,Malignant neoplasm of short bones of right upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.12,Malignant neoplasm of short bones of left upper limb,Malignant neoplasm,Reportable,Core,,,,
C40.2,Malignant neoplasm of long bones of lower limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.20,Malignant neoplasm of long bones of unspecified lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.21,Malignant neoplasm of long bones of right lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.22,Malignant neoplasm of long bones of left lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.3,Malignant neoplasm of short bones of lower limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.30,Malignant neoplasm of short bones of unspecified lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.31,Malignant neoplasm of short bones of right lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.32,Malignant neoplasm of short bones of left lower limb,Malignant neoplasm,Reportable,Core,,,,
C40.8,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.80,Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,Malignant neoplasm,Reportable,Core,,,,
C40.81,Malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,Malignant neoplasm,Reportable,Core,,,,
C40.82,Malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,Malignant neoplasm,Reportable,Core,,,,
C40.9,Malignant neoplasm of unspecified bones and articular cartilage of limb,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C40.90,Malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,Malignant neoplasm,Reportable,Core,,,,
C40.91,Malignant neoplasm of unspecified bones and articular cartilage of right limb,Malignant neoplasm,Reportable,Core,,,,
C40.92,Malignant neoplasm of unspecified bones and articular cartilage of left limb,Malignant neoplasm,Reportable,Core,,,,
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C41.0,Malignant neoplasm of bones of skull and face,Malignant neoplasm,Reportable,Core,,,,
C41.1,Malignant neoplasm of mandible,Malignant neoplasm,Reportable,Core,,,,
C41.2,Malignant neoplasm of vertebral column,Malignant neoplasm,Reportable,Core,,,,
C41.3,"Malignant neoplasm of ribs, sternum and clavicle",Malignant neoplasm,Reportable,Core,,,,
C41.4,"Malignant neoplasm of pelvic bones, sacrum and coccyx",Malignant neoplasm,Reportable,Core,,,,
C41.9,"Malignant neoplasm of bone and articular cartilage, unspecified",Malignant neoplasm,Reportable,Core,,,,
C43,Malignant melanoma of skin,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C43.0,Malignant melanoma of lip,Malignant neoplasm,Reportable,Core,,,,
C43.1,"Malignant melanoma of eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C43.10,"Malignant melanoma of unspecified eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C43.11,"Malignant melanoma of right eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C43.111,"Malignant melanoma of right upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C43.112,"Malignant melanoma of right lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C43.12,"Malignant melanoma of left eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C43.121,"Malignant melanoma of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C43.122,"Malignant melanoma of left lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C43.2,Malignant melanoma of ear and external auricular canal,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C43.20,Malignant melanoma of unspecified ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C43.21,Malignant melanoma of right ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C43.22,Malignant melanoma of left ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C43.3,Malignant melanoma of other and unspecified parts of face,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C43.30,Malignant melanoma of unspecified part of face,Malignant neoplasm,Reportable,Core,,,,
C43.31,Malignant melanoma of nose,Malignant neoplasm,Reportable,Core,,,,
C43.39,Malignant melanoma of other parts of face,Malignant neoplasm,Reportable,Core,,,,
C43.4,Malignant melanoma of scalp and neck,Malignant neoplasm,Reportable,Core,,,,
C43.5,Malignant melanoma of trunk,Malignant neoplasm ,Category Code,Category Code (Core),,,,
C43.51,Malignant melanoma of anal skin,Malignant neoplasm,Reportable,Core,,,,
C43.52,Malignant melanoma of skin of breast,Malignant neoplasm,Reportable,Core,,,,
C43.59,Malignant melanoma of other part of trunk,Malignant neoplasm,Reportable,Core,,,,
C43.6,"Malignant melanoma of upper limb, including shoulder",Malignant neoplasm ,Category Code,Category Code (Core),,,,
C43.60,"Malignant melanoma of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C43.61,"Malignant melanoma of right upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C43.62,"Malignant melanoma of left upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C43.7,"Malignant melanoma of lower limb, including hip",Malignant neoplasm ,Reportable,Core,,,,
C43.70,"Malignant melanoma of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C43.71,"Malignant melanoma of right lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C43.72,"Malignant melanoma of left lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C43.8,Malignant melanoma of overlapping sites of skin,Malignant neoplasm,Reportable,Core,,,,
C43.9,"Malignant melanoma of skin, unspecified",Malignant neoplasm,Reportable,Core,,,,
C44.00,Unspecified malignant neoplasm of skin of lip,Malignant neoplasm,Reportable,Expanded,,,,
C44.09,Other specified malignant neoplasm of skin of lip,Malignant neoplasm,Reportable,Expanded,,,,
C44.10,"Unspecified malignant neoplasm of skin of eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.101,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.102,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.1021,"Unspecified malignant neoplasm of skin of right upper eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.1022,"Unspecified malignant neoplasm of skin of right lower eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.109,"Unspecified malignant neoplasm of skin of left eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.1091,"Unspecified malignant neoplasm of skin of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.1092,"Unspecified malignant neoplasm of skin of left lower eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.13,"Sebaceous cell carcinoma of skin of eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C44.131,"Sebaceous cell carcinoma of skin of unspecified eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C44.132,"Sebaceous cell carcinoma of skin of right eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C44.1321,"Sebaceous cell carcinoma of skin of right upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C44.1322,"Sebaceous cell carcinoma of skin of right lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C44.139,"Sebaceous cell carcinoma of skin of left eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C44.1391,"Sebaceous cell carcinoma of skin of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
